answer,correct_answer,score
Naomi Watts,Naomi Watts,1
Robin Williams,Robin Williams,1
Will Ferrel,Will Ferrell,0.998
Dennis Hopper,Dennis Hopper,1
Peter Cyote,Peter Coyote,0.976
Darryl Hannah,Daryl Hannah,0.98
Peter Sarsguard,Peter Sarsgaard,0.988
Jennifer Lopez,Jennifer Lopez,1
Bill Cosby,Bill Cosby,1
Chris Rock,Chris Rock,1
John Malcovitch,John Malkovich,0.944
Forest Wittaker,Forest Whitaker,0.979
Elliot Gould,Elliott Gould,0.986
Angelina Joli,Angelina Jolie,0.998
Al Pacino,Al Pacino,1
Chevy Chase,Chevy Chase,1
Dan Akyroyd,Dan Aykroyd,0.983
Helena Bonham Carter,Helena Bonham Carter,1
Nick Nolte,Nick Nolte,1
Rachel McAdams,Rachel McAdams,1
Sarah Jesica Parker,Sarah Jessica Parker,0.991
paul dano,Paul Dano,1
Elizabeth Perkins,Elizabeth Perkins,1
Drew Barymore,Drew Barrymore,0.968
David Spade,David Spade,1
Kyle McGlauklan,Kyle MacLachlan,0.875
Tom Cruise,Tom Cruise,1
Sygourney Weaver,Sigourney Weaver,0.898
Jennifer Connely,Jennifer Connelly,0.998
Macauly Calkin,Macaulay Culkin,0.958
Jamie Foxx,Jamie Foxx,1
Samuel L. Jackson,Samuel L. Jackson,1
Kathlene Turner,Kathleen Turner,0.987
Helen Hunt,Helen Hunt,1
Brad Pitt,Brad Pitt,1
Debora Winger,Debra Winger,0.98
Laura Liney,Laura Linney,0.993
Roy Schider,Roy Scheider,0.976
Liv Tyler,Liv Tyler,1
Ben Afleck,Ben Affleck,0.986
Keano reeves,Keanu Reeves,0.926
Brian Cox,Brian Cox,1
Beau Bridges,Beau Bridges,1
Jerry Lewis,Jerry Lewis,1
Paul Giamatti,Paul Giamatti,1
Denzel Washington,Denzel Washington,1
Jennifer Lawrence,Jennifer Lawrence,1
Arnold Schwarzenneger,Arnold Schwarzenegger,0.992
Jennifer Jason Lee,Jennifer Jason Leigh,0.99
Ralph Finnes,Ralph Fiennes,0.979
Julia roberts,Julia Roberts,1
Sarah Jessica Parker ,Sarah Jessica Parker,1
Kevin Cosner,Kevin Costner,0.992
Kiefer Sutherland ,Kiefer Sutherland,1
Tom wilkenson,Tom Wilkinson,0.929
Emma watson,Emma Watson,1
John cusack,John Cusack,1
Blair underwood ,Blair Underwood,1
Sean Penn,Sean Penn,1
Michael Shannon ,Michael Shannon,1
Harrison Ford,Harrison Ford,1
Renee russo,Rene Russo,0.94
Drew barrymore,Drew Barrymore,1
Beau bridges,Beau Bridges,1
Bill Cosby,Bill Cosby,1
Jake Jyllenhall,Jake Gyllenhaal,0.941
Candice Bergen,Candice Bergen,1
Jack black ,Jack Black,1
Kate Winslet ,Kate Winslet,1
Josh Brolin ,Josh Brolin,1
Nicholas cage,Nicholas Cage,1
Nicole Kidman ,Nicole Kidman,1
Greg kinear,Greg Kinnear,0.95
Ryan Gosling,Ryan Gosling,1
John Travolta,John Travolta,1
Elliot Gould ,Elliott Gould,0.972
Elizabeth Perkins,Elizabeth Perkins,1
Toni Colette ,Toni Collette,0.98
Francis mcdormand,Frances McDormand,0.867
David spade,David Spade,1
Bridget Fonda,Bridget Fonda,1
Marisa Tomei ,Marisa Tomei,1
Ewan  McGregor ,Ewan McGregor,1
John hawkes,John Hawkes,1
Mark wahlberg,Mark Wahlberg,1
Danny Glover,Danny Glover,1
Jim carrey,Jim Carrey,1
Brooke shields ,Brooke Shields,1
Tea leoni,Tea Leoni,1
Sean Connery ,Sean Connery,1
David Schwimmer ,David Schwimmer,1
Holly hunter ,Holly Hunter,1
Val Kilmer ,Val Kilmer,1
John Malkovich ,John Malkovich,1
Orlando Bloome,Orlando Bloom,0.998
Juliette Binoche,Juliette Binoche,1
Adrien brody,Adrien Brody,1
Jack Nicholson ,Jack Nicholson,1
Guy peirce,Guy Pearce,0.92
Bradley Cooper ,Bradley Cooper,1
Kenneth Branaugh,Kenneth Branagh,0.996
Debora winger ,Debra Winger,0.922
Kathy bates,Kathy Bates,1
Zach Galifianakis ,Zach Galifianakis,1
Kevin spacey,Kevin Spacey,1
Sally Fields,Sally Fields,1
Elijah Wood,Elijah Wood,1
Sharon Stone,Sharon Stone,1
Guy Peirce,Guy Pearce,0.973
Ellen Barkin,Ellen Barkin,1
Sean Penn,Sean Penn,1
Leonardo DeCapprio,Leonardo DiCaprio,0.956
Tom Hanks,Tom Hanks,1
Alan Arkin,Alan Arkin,1
Willem Defoe,Willem Dafoe,0.971
MIchelle Pfiffer,Michelle Pfeiffer,0.923
Harrison Ford,Harrison Ford,1
Sean Connery,Sean Connery,1
Jane Fonda,Jane Fonda,1
Cameron Diaz,Cameron Diaz,1
Jeremy Renner,Jeremy Renner,1
Tim Blake Nelson,Tim Blake Nelson,1
Dustin Hoffman,Dustin Hoffman,1
Clint Eastwood,Clint Eastwood,1
Jeffrey Wright,Jeffrey Wright,1
Selma Hyeck,Salma Hayek,0.856
David Hasselhoff,David Hasselhoff,1
Jon Voight,Jon Voight,1
Anna Paquin,Anna Paquin,1
Liam Neeson,Liam Neeson,1
Jeff Goldblum,Jeff Goldblum,1
David Spade,David Spade,1
Ben Stiller,Ben Stiller,1
Rosie Perez,Rosie Perez,1
Javier Bardem,Javier Bardem,1
Mike Myers,Mike Myers,1
Rob Lowe,Rob Lowe,1
Charlie Sheene,Charlie Sheen,0.998
Leonardo de caprio ,Leonardo DiCaprio,0.898
Ben Affleck ,Ben Affleck,1
Jim Balushi,Jim Belushi,0.967
Morgan  freeman ,Morgan Freeman,1
Martin Lawrence ,Martin Lawrence,1
Robin Williams ,Robin Williams,1
Rachel MacAdams,Rachel McAdams,0.967
Al Pacino ,Al Pacino,1
Kim basinger,Kim Basinger,1
Jodie foster ,Jodie Foster,1
Jeremy irons,Jeremy Irons,1
Brian cox,Brian Cox,1
Ellen page,Ellen Page,1
John Goodman ,John Goodman,1
Ed burns,Ed Burns,1
Kelly Macadams,Kelly MacDonald,0.936
Brad Pitt ,Brad Pitt,1
Paul giamatti,Paul Giamatti,1
Miranda Richardson,Miranda Richardson,1
Philip seymour hoffman,Philip Seymour Hoffman,1
Peter Gallagher,Peter Gallagher,1
Ben Afleck,Ben Affleck,0.986
Elliot Gould,Elliott Gould,0.986
Sam Worthington,Sam Worthington,1
Rene Russo,Rene Russo,1
Anthony Quinn,Anthony Quinn,1
Adrien Brody,Adrien Brody,1
Jodie Foster,Jodie Foster,1
Nathan Lane,Nathan Lane,1
Jack Black,Jack Black,1
Michael Shannon,Michael Shannon,1
Jamie Bell,Jamie Bell,1
Tom Cruise,Tom Cruise,1
Willem Hurt,William Hurt,0.943
Catherine Zeta-Jones,Catherine Zeta-Jones,1
Christopher Walken,Christopher Walken,1
Patricia Arquette,Patricia Arquette,1
Alfred Molina,Alfred Molina,1
Ralph Finnes,Ralph Fiennes,0.979
Burt Reynolds,Burt Reynolds,1
Helen Hunt,Helen Hunt,1
Mary Louise Parker,Mary-Louise Parker,0.925
Winona Ryder,Winona Ryder,1
Rene Zelwegger,Renee Zellweger,0.875
Alan Aldas,Alan Alda,0.997
Ethan Hawke,Ethan Hawke,1
Martin Sheen,Martin Sheen,1
Brendan Fraiser,Brendan Fraser,0.994
Peter Cayote,Peter Coyote,0.964
Hugh Grant,Hugh Grant,1
Woody allen ,Woody Allen,1
Christopher Walken ,Christopher Walken,1
Uma Thurman ,Uma Thurman,1
Matthew broderick,Matthew Broderick,1
Jeffrey rush,Geoffrey Rush,0.868
Renee zelwiger,Renee Zellweger,0.915
Ben Kingsley ,Ben Kingsley,1
Alec Baldwin ,Alec Baldwin,1
Chris Cooper ,Chris Cooper,1
Emma stone,Emma Stone,1
Joseph Gordon levit,Joseph Gordon-Levitt,0.97
Jerry Lewis,Jerry Lewis,1
Sam shepard,Sam Shepard,1
Joan cusack,Joan Cusack,1
Penelope Cruze,Penelope Cruz,0.998
Cate Blanchett ,Cate Blanchett,1
Kevin James,Kevin James,1
Peter O'toole,Peter O'toole,1
Gwenneth Paltrow,Gwyneth Paltrow,0.923
Lucy liu,Lucy Liu,1
Hugh Grant ,Hugh Grant,1
Frank Langella,Frank Langella,1
Colin Firth,Colin Firth,1
Steve Martin,Steve Martin,1
Ed Haris,Ed Harris,0.985
Helena Bonham-Carter,Helena Bonham Carter,0.988
Bridgette Fonda,Bridget Fonda,0.976
Mell Gibson,Mel Gibson,0.978
Kelly McAdams,Kelly MacDonald,0.882
Bradley Cooper,Bradley Cooper,1
Arnold Schwartzenegger,Arnold Schwarzenegger,0.994
Catherine Keener,Catherine Keener,1
Sandra Bullock,Sandra Bullock,1
Robert Downey Jr.,Robert Downey Jr.,1
Elizabeth Shue,Elisabeth Shue,0.963
Naomi Watts,Naomi Watts,1
Demi Moore,Demi Moore,1
Gene Hackman,Gene Hackman,1
John Cusack,John Cusack,1
Christopher Plumber,Christopher Plummer,0.994
Chris Rock,Chris Rock,1
Gabriel Bryne,Gabriel Byrne,0.992
Ryan Reynolds,Ryan Reynolds,1
Andy Garcia,Andy Garcia,1
Joseph Gordon Levitt,Joseph Gordon-Levitt,0.988
Jerry Lewis,Jerry Lewis,1
Jennifer Connely,Jennifer Connelly,0.998
Billy Crystal,Billy Crystal,1
Ed Burns,Ed Burns,1
Jennifer Jason Leigh,Jennifer Jason Leigh,1
Rosana Arquette,Rosanna Arquette,0.986
Morgan Freeman,Morgan Freeman,1
Francis Mcdormand,Frances McDormand,0.898
Jason Bateman,Jason Bateman,1
Danny Devito,Danny DeVito,1
Ellen Degeneres,Ellen Degeneres,1
Kate Winslet,Kate Winslet,1
Jackie Chan ,Jackie Chan,1
Sharon stone ,Sharon Stone,1
Ben Kingsley ,Ben Kingsley,1
Josh brolin,Josh Brolin,1
Jeremy irons ,Jeremy Irons,1
Tom Cruise ,Tom Cruise,1
Andie MacDowell ,Andie MacDowell,1
Kevin Costner ,Kevin Costner,1
Paul Giamatti ,Paul Giamatti,1
Gene Hackman ,Gene Hackman,1
Marion Cotillard ,Marion Cotillard,1
John Turturro ,John Turturro,1
Joan  Cusack ,Joan Cusack,1
Kevin James ,Kevin James,1
Blythe danner ,Blythe Danner,1
Liev Schreiber ,Liev Schreiber,1
David ducovney ,David Duchovny,0.931
Chris Rock ,Chris Rock,1
John c. Rilley ,John C. Reilly,0.937
Will Smith ,Will Smith,1
Oliver Platt ,Oliver Platt,1
Laura linney,Laura Linney,1
Paul Newman ,Paul Newman,1
Jack Nicholson ,Jack Nicholson,1
Jerry Lewis ,Jerry Lewis,1
Brooke shields ,Brooke Shields,1
Laura  dern,Laura Dern,1
Harrison Ford ,Harrison Ford,1
Uma Thurman ,Uma Thurman,1
Scarlett Johansen ,Scarlett Johansson,0.988
Alec Baldwin ,Alec Baldwin,1
Blair underwood ,Blair Underwood,1
Anne Hathaway ,Anne Hathaway,1
Sam Worthington ,Sam Worthington,1
Meg Ryan ,Meg Ryan,1
Dennis learey,Denis Leary,0.918
Al Pacino ,Al Pacino,1
Christian bale ,Christian Bale,1
Elliot Gould ,Elliott Gould,0.972
Christopher plummer,Christopher Plummer,1
Amanda Peet ,Amanda Peet,1
Cathy Bates ,Kathy Bates,0.914
Robert De Niro ,Robert De Niro,1
Kim bassinger,Kim Basinger,0.945
Jake  Gyllenhaal ,Jake Gyllenhaal,1
Richard gere ,Richard Gere,1
Benicio del torro ,Benicio Del Toro,0.936
Leonardo de caprio ,Leonardo DiCaprio,0.898
Morgen Freeman ,Morgan Freeman,0.912
Bradley Cooper ,Bradley Cooper,1
Winona Ryder ,Winona Ryder,1
Jessica Chastain ,Jessica Chastain,1
Kurt Russell ,Kurt Russell,1
Cate Blanchett ,Cate Blanchett,1
Viggo Mortensen ,Viggo Mortensen,1
Kate Hudson ,Kate Hudson,1
Michael fassbender,Michael Fassbender,1
Kiefer Sutherland ,Kiefer Sutherland,1
Colin firth,Colin Firth,1
Francis macdormand,Frances McDormand,0.852
Jonas voit,Jon Voight,0.86
Eddie Murphy ,Eddie Murphy,1
Ethan Hawke ,Ethan Hawke,1
Martin Lawrence ,Martin Lawrence,1
Dennis Miller ,Dennis Miller,1
Hope Davis ,Hope Davis,1
Miranda Richardson ,Miranda Richardson,1
Tracy Ullman ,Tracey Ullman,0.964
Robert Downey jr,Robert Downey Jr.,0.989
Edward Norton ,Edward Norton,1
Emma stone ,Emma Stone,1
Jennifer Lopez ,Jennifer Lopez,1
Billy crystal ,Billy Crystal,1
Jamie Foxx ,Jamie Foxx,1
Steve Martin ,Steve Martin,1
James McAvoy ,James McAvoy,1
Matthew Broderick ,Matthew Broderick,1
Jude law ,Jude Law,1
Jennifer Lawrence ,Jennifer Lawrence,1
Jeremy Renner ,Jeremy Renner,1
Brenden Frasier ,Brendan Fraser,0.923
Nathan lane ,Nathan Lane,1
Daniel day Lewis ,Daniel Day-Lewis,0.941
Tim Blake Nelson ,Tim Blake Nelson,1
Emma Watson ,Emma Watson,1
Vince Vaughan ,Vince Vaughn,0.99
David Hasselhoff ,David Hasselhoff,1
Ryan gosling,Ryan Gosling,1
Hugh Jackman ,Hugh Jackman,1
Chris Cooper ,Chris Cooper,1
Marisa Tomei ,Marisa Tomei,1
John Travolta ,John Travolta,1
Hugh Grant ,Hugh Grant,1
Sally fields,Sally Fields,1
Jim Carey ,Jim Carrey,0.98
Willem Dafoe ,Willem Dafoe,1
Liam Neeson,Liam Neeson,1
Will Farrell ,Will Ferrell,0.941
Toni Colette ,Toni Collette,0.98
Adrien Brody,Adrien Brody,1
Eddie murphy,Eddie Murphy,1
Tim Robbins,Tim Robbins,1
Robert Downey Jr.,Robert Downey Jr.,1
George Lopez,George Lopez,1
Miranda Richardson,Miranda Richardson,1
Jamie Bell,Jamie Bell,1
Chris Cooper,Chris Cooper,1
Paul Dano,Paul Dano,1
Meg Ryan,Meg Ryan,1
Christopher Walken,Christopher Walken,1
David Schwimmer,David Schwimmer,1
Catherine Zeta-Jones,Catherine Zeta-Jones,1
Christoph Waltz,Christoph Waltz,1
Daniel Day Lewis,Daniel Day-Lewis,0.984
Catherine Keener,Catherine Keener,1
Holly Hunter,Holly Hunter,1
Mckauley Caulkin,Macaulay Culkin,0.851
Liev Schriber,Liev Schreiber,0.982
Sigorney Weaver,Sigourney Weaver,0.984
Donald Sutherland,Donald Sutherland,1
Elizabeth Perkins,Elizabeth Perkins,1
Martin Sheen,Martin Sheen,1
Clive Owen,Clive Owen,1
Guy Peirce,Guy Pearce,0.973
Emma Watson,Emma Watson,1
Anthony Quinn,Anthony Quinn,1
Mark Wahlburg,Mark Wahlberg,0.988
Michael Douglas,Michael Douglas,1
Michael Shannon,Michael Shannon,1
Amy Adams,Amy Adams,1
Meryl Streep,Meryl Streep,1
Colin Firth,Colin Firth,1
Maggie Gyllenhaal,Maggie Gyllenhaal,1
John Travolta,John Travolta,1
Greg Kineer,Greg Kinnear,0.971
Ian Holm,Ian Holm,1
Sam Shepard,Sam Shepard,1
Laura Linney,Laura Linney,1
Brendan Frasier,Brendan Fraser,0.996
John C. Rielly,John C. Reilly,0.991
Sharon Stone,Sharon Stone,1
Joseph Gordon Levitt,Joseph Gordon-Levitt,0.988
Jonny Depp,Johnny Depp,0.975
Kevin Spacey,Kevin Spacey,1
Rickey Gervais,Ricky Gervais,0.946
Havier Bardem,Javier Bardem,0.949
Peter Sarsguard,Peter Sarsgaard,0.988
Anette Benning,Annette Bening,0.937
Leonardo De Caprio,Leonardo DiCaprio,0.956
Laura Dern,Laura Dern,1
Peter Coyote,Peter Coyote,1
Willem Defoe,Willem Dafoe,0.971
Steve Carrel,Steve Carell,0.986
Ralph Finnes,Ralph Fiennes,0.979
Emily Blunt,Emily Blunt,1
Kenneth Branaugh,Kenneth Branagh,0.996
Alec Baldwin,Alec Baldwin,1
Marion Cottelard,Marion Cotillard,0.969
Michael J. Fox,Michael J. Fox,1
Kevin James,Kevin James,1
Zack Galifanakis,Zach Galifianakis,0.914
Judy Dench,Judi Dench,0.953
Sean Penn,Sean Penn,1
Tilda Swinton,Tilda Swinton,1
Edward Nortno,Edward Norton,0.996
Dennis MIller,Dennis Miller,1
Jennifer Lopez,Jennifer Lopez,1
Geoffrey Rush,Geoffrey Rush,1
Michael Fasbender,Michael Fassbender,0.993
Peter Ghallager,Peter Gallagher,0.976
Al Pacino,Al Pacino,1
Dennis Hopper,Dennis Hopper,1
Bill Pullman,Bill Pullman,1
Jeff Bridges,Jeff Bridges,1
Steven Segal,Steven Seagal,0.984
Kelly MacDonald,Kelly MacDonald,1
Gabriel Byrne,Gabriel Byrne,1
Reese Witherspoon,Reese Witherspoon,1
Paul Newman,Paul Newman,1
Lindsay Lowhan,Lindsay Lohan,0.993
Albert Brooks,Albert Brooks,1
Jimmy Smits,Jimmy Smits,1
Jennifer Connely,Jennifer Connelly,0.998
Paul Giamatti,Paul Giamatti,1
Cate Blanchett,Cate Blanchett,1
Liam Neeson,Liam Neeson,1
Emma STone,Emma Stone,1
Roy Scheider,Roy Scheider,1
Elizabeth Shue,Elisabeth Shue,0.963
Kurt Russell,Kurt Russell,1
Daryl Hannah,Daryl Hannah,1
Kristin Scott Thomas,Kristin Scott Thomas,1
Dan Akyroyd,Dan Aykroyd,0.983
Sissy Spaseck,Sissy Spacek,0.984
Jamie Foxx,Jamie Foxx,1
Tracy Ullman,Tracey Ullman,0.982
Halley Berry,Halle Berry,0.948
Jennifer Jason Lee,Jennifer Jason Leigh,0.99
Jamie Lee Curtis,Jamie Lee Curtis,1
Michael Shannon,Michael Shannon,1
Chevy Chase,Chevy Chase,1
Minni Driver,Minnie Driver,0.933
Rosie Lopez,Rosie Perez,0.917
Maggie Gyllenhaal,Maggie Gyllenhaal,1
Dennis Miller,Dennis Miller,1
Hugh Grant,Hugh Grant,1
Lucy Liu,Lucy Liu,1
Liv Tyler,Liv Tyler,1
Reese WItherspoon,Reese Witherspoon,1
Emma Thompson,Emma Thompson,1
Sally Fields,Sally Fields,1
Brad Pitt,Brad Pitt,1
Ben Afleck,Ben Affleck,0.986
Bill PUllman,Bill Pullman,1
Gary Oldman,Gary Oldman,1
Jodie Foster,Jodie Foster,1
Marisa Tomei,Marisa Tomei,1
Richard Guere,Richard Gere,0.992
Al Pacino,Al Pacino,1
Will Smith,Will Smith,1
Alec Baldwin,Alec Baldwin,1
Ben Kingsley,Ben Kingsley,1
Jennifer Lopez,Jennifer Lopez,1
Halie Berry,Halle Berry,0.956
Selma Hyeck,Salma Hayek,0.856
Kirstin Dunst,Kirsten Dunst,0.968
Mat Damon,Matt Damon,0.977
Albert Brooks,Albert Brooks,1
Peter Coyote,Peter Coyote,1
Isabella Rossellini,Isabella Rossellini,1
Guy Peirce,Guy Pearce,0.973
Jeremy Irons,Jeremy Irons,1
Russel Crowe,Russell Crowe,0.986
Naomi Watts,Naomi Watts,1
Mike Myers,Mike Myers,1
Jesica Chastain,Jessica Chastain,0.911
Kathlene Turner,Kathleen Turner,0.987
Alan Rickman,Alan Rickman,1
Malcolm McDowel,Malcolm McDowell,0.999
Charlie sheen,Charlie Sheen,1
Sally fields,Sally Fields,1
Toni Colette ,Toni Collette,0.98
Tom hanks,Tom Hanks,1
Brian cox,Brian Cox,1
Bill  Cosby ,Bill Cosby,1
Val Kilmer ,Val Kilmer,1
Ethan Hawke ,Ethan Hawke,1
Mickey Rourke ,Mickey Rourke,1
Jamie Lee Curtis ,Jamie Lee Curtis,1
Nicole Kidman ,Nicole Kidman,1
Hope Davis ,Hope Davis,1
Barbara Hirshey ,Barbara Hershey,0.951
Kristin Scott thomas,Kristin Scott Thomas,1
Ryan Gosling,Ryan Gosling,1
Edward Norton,Edward Norton,1
Mark Ruffalo,Mark Ruffalo,1
Jackie Chan,Jackie Chan,1
Liv Tyler,Liv Tyler,1
Miranda Richardson,Miranda Richardson,1
Peter Coyote,Peter Coyote,1
Rickey Gervais,Ricky Gervais,0.946
Jennifer ANiston,Jennifer Aniston,1
Angelina Joli,Angelina Jolie,0.998
Mary Steenburgen,Mary Steenburgen,1
Jamie Foxx,Jamie Foxx,1
Steve Martin ,Steve Martin,1
Rosanna Arquette ,Rosanna Arquette,1
Guy peirce ,Guy Pearce,0.9
Eddie Murphy ,Eddie Murphy,1
Christopher Walken ,Christopher Walken,1
Francis mcdormand,Frances McDormand,0.867
Jennifer Jason Leigh,Jennifer Jason Leigh,1
John Cusack,John Cusack,1
Jack Nicholson,Jack Nicholson,1
Alec Baldwin,Alec Baldwin,1
Kurt Russell,Kurt Russell,1
Winona Ryder ,Winona Ryder,1
Natalie Portman ,Natalie Portman,1
Bradley Cooper ,Bradley Cooper,1
Alan Arkin,Alan Arkin,1
Jamie bell,Jamie Bell,1
Leonardo dicaprio,Leonardo DiCaprio,1
Orlando Bloom ,Orlando Bloom,1
George Clooney ,George Clooney,1
Richard gere ,Richard Gere,1
Marisa Tomei ,Marisa Tomei,1
Amy adams,Amy Adams,1
Clive owen,Clive Owen,1
John hawkes,John Hawkes,1
Steve Martin ,Steve Martin,1
Elizabeth shue,Elisabeth Shue,0.925
Sidney Poitier,Sidney Poitier,1
Tim Robbins,Tim Robbins,1
Steve Correl,Steve Carell,0.954
Anthony Hopkins,Anthony Hopkins,1
Jon Hamm,Jon Hamm,1
Sandra Bullock,Sandra Bullock,1
Anthony Quinn,Anthony Quinn,1
Martin Sheen,Martin Sheen,1
Gary Sinese,Gary Sinise,0.974
Joan Cusack,Joan Cusack,1
Kirstin Dunst,Kirsten Dunst,0.968
Laura  dern ,Laura Dern,1
Ryan Reynolds ,Ryan Reynolds,1
Sean Penn ,Sean Penn,1
Scarlett Johansen ,Scarlett Johansson,0.988
Robert Downey  jr,Robert Downey Jr.,0.986
Daniel Radcliffe ,Daniel Radcliffe,1
Roy Schider,Roy Scheider,0.976
Danny GLover,Danny Glover,1
Burt Reynolds,Burt Reynolds,1
Kenneth Branaugh,Kenneth Branagh,0.996
Sigourney weaver,Sigourney Weaver,1
Eva Mendez ,Eva Mendes,0.983
Denzel Washington ,Denzel Washington,1
Brad Pitt ,Brad Pitt,1
Jake Gyllenhaal ,Jake Gyllenhaal,1
Jodie foster ,Jodie Foster,1
Juliette binoche,Juliette Binoche,1
Toby McGuire ,Tobey Maguire,0.882
Ed burnes,Ed Burns,0.919
Michelle Pfeiffer ,Michelle Pfeiffer,1
Al Pacino ,Al Pacino,1
John leguzamo ,John Leguizamo,0.939
Robert Redford ,Robert Redford,1
Tom arnold,Tom Arnold,1
Ellen page,Ellen Page,1
Clint Eastwood,Clint Eastwood,1
Jim Belushi,Jim Belushi,1
Vanessa Redgrave,Vanessa Redgrave,1
Daniel Radcliffe,Daniel Radcliffe,1
Kyle Mcglaughlan,Kyle MacLachlan,0.889
Christian Bale,Christian Bale,1
Andie Mcdowell,Andie MacDowell,0.964
Glenn Close,Glenn Close,1
James Gandolfini,James Gandolfini,1
John Malkovitch,John Malkovich,0.996
Maggie Jyllenhall,Maggie Gyllenhaal,0.954
Scarlett Johanson,Scarlett Johansson,0.997
Marisa Tomei ,Marisa Tomei,1
Jodie foster ,Jodie Foster,1
Paul Dano ,Paul Dano,1
Macaulay calkin ,Macaulay Culkin,0.953
Tea Leoni ,Tea Leoni,1
Mark Wahlberg ,Mark Wahlberg,1
Renee Rousso,Rene Russo,0.941
Minnie Driver,Minnie Driver,1
Joan Cusack,Joan Cusack,1
James Gandolfini,James Gandolfini,1
Penelope Cruise,Penelope Cruz,0.982
Lindsay Lohan,Lindsay Lohan,1
Dennis LEary,Denis Leary,0.936
Benecio Del Toro,Benicio Del Toro,0.93
Kate Hudson,Kate Hudson,1
Jeff Bridges,Jeff Bridges,1
Ben Stiller,Ben Stiller,1
Eva Mendes,Eva Mendes,1
Kim Bassenger,Kim Basinger,0.95
Candice Bergan,Candice Bergen,0.993
Matthew Broderick,Matthew Broderick,1
Brian Cox,Brian Cox,1
Kevin James,Kevin James,1
Joseph Gordon Levitt,Joseph Gordon-Levitt,0.988
Donald SUtherland,Donald Sutherland,1
Danny Devito,Danny DeVito,1
Colin Firth,Colin Firth,1
Jennifer Lopez,Jennifer Lopez,1
Jim Belushi,Jim Belushi,1
Sam Shepard,Sam Shepard,1
Uma Thermon,Uma Thurman,0.945
James Woods,James Woods,1
Meg Ryan,Meg Ryan,1
Tom Arnold,Tom Arnold,1
Jerry Lewis,Jerry Lewis,1
Tobey McGuire,Tobey Maguire,0.953
Will Smith,Will Smith,1
Adrien Brody,Adrien Brody,1
Rob Lowe,Rob Lowe,1
Anthony Hopkins,Anthony Hopkins,1
Natalie Portman,Natalie Portman,1
Meryl Streep,Meryl Streep,1
Charlie Sheen,Charlie Sheen,1
Mark Ruffalo,Mark Ruffalo,1
Sarah Jessica Parker,Sarah Jessica Parker,1
Tracy Ullman,Tracey Ullman,0.982
Kristin Scott Thomas,Kristin Scott Thomas,1
Jim Carrey,Jim Carrey,1
Brad Pitt,Brad Pitt,1
Stanley Tucci,Stanley Tucci,1
Will Farrel,Will Ferrell,0.94
Cameron DIaz,Cameron Diaz,1
Beau Bridges,Beau Bridges,1
Ed Harris,Ed Harris,1
Tim Blake Nelson,Tim Blake Nelson,1
Judy Dench,Judi Dench,0.953
Jon ham ,Jon Hamm,0.9
Alan Alda ,Alan Alda,1
Amy adams,Amy Adams,1
Scarlett Johansen ,Scarlett Johansson,0.988
Meg Ryan ,Meg Ryan,1
Tilda Swinton ,Tilda Swinton,1
Orlando Bloom ,Orlando Bloom,1
Juaquin Pheonix,Joaquin Phoenix,0.914
Chris Rock,Chris Rock,1
Jim Carey,Jim Carrey,0.99
Toni Colette,Toni Collette,0.99
Emily Blunt,Emily Blunt,1
Elijah Wood,Elijah Wood,1
Ethan Hawke,Ethan Hawke,1
Demi Moore,Demi Moore,1
Vince Vaughn,Vince Vaughn,1
Jeff Bridges,Jeff Bridges,1
Kevin Spacey,Kevin Spacey,1
Daryl Hannah,Daryl Hannah,1
Donald Sutherland,Donald Sutherland,1
John Leguzamo,John Leguizamo,0.991
Mickey Roarke,Mickey Rourke,0.984
Sissy Spacek,Sissy Spacek,1
Eva Mendes,Eva Mendes,1
Juliette Binoche,Juliette Binoche,1
Mark Wahlberg,Mark Wahlberg,1
Jill Clayberg,Jill Clayburgh,0.979
Bridgette Fondsa,Bridget Fonda,0.965
Christopher Walken,Christopher Walken,1
Jennifer Aniston,Jennifer Aniston,1
Goldie Hawn,Goldie Hawn,1
Rene Zelwegger,Renee Zellweger,0.875
Sean Connery,Sean Connery,1
Elliot Gould,Elliott Gould,0.986
Michelle Pfiffer,Michelle Pfeiffer,0.986
Nick Nolte,Nick Nolte,1
Richard Gere,Richard Gere,1
Nichole Kiddman,Nicole Kidman,0.964
Michael Shannon,Michael Shannon,1
Alan Alda,Alan Alda,1
Keira Nightly,Keira Knightley,0.945
Forest Wittaker,Forest Whitaker,0.979
Catherine Keenr,Catherine Keener,0.997
Anne Hathaway,Anne Hathaway,1
Gweneth Paltro,Gwyneth Paltrow,0.919
Dennis Miller,Dennis Miller,1
Chris Rock,Chris Rock,1
Robert De Niro,Robert De Niro,1
Robert Duval,Robert Duvall,0.998
Ryan Gosling,Ryan Gosling,1
Sylvester Stallone ,Sylvester Stallone,1
Josh Brolin ,Josh Brolin,1
Liv Tyler ,Liv Tyler,1
Samuel L Jackson ,Samuel L. Jackson,0.979
Christopher plummer ,Christopher Plummer,1
Edward Norton ,Edward Norton,1
Paul rudd,Paul Rudd,1
Jimmy smitts,Jimmy Smits,0.924
Mike Myers,Mike Myers,1
Debora Winger,Debra Winger,0.98
Glenn Close,Glenn Close,1
Jenifer Lopez,Jennifer Lopez,0.981
Don Cheedle,Don Cheadle,0.966
Lindsey Lohan,Lindsay Lohan,0.968
Ben Kingsley,Ben Kingsley,1
Harrison Ford,Harrison Ford,1
